"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"Claim","Claim","","Adjudication Request
Preauthorization RequestPredetermination Request","",0,*,"","","","null {[]} {[]}
","Claim, Pre-determination or Pre-authorization","A provider issued list of professional services and products which have been provided, or are to be provided, to a patient which is sent to an insurer for reimbursement.","The Claim resource fulfills three information request requirements: Claim - a request for adjudication for reimbursement for products and/or services provided; Preauthorization - a request to authorize the future provision of products and/or services including an anticipated adjudication; and, Predetermination - a request for a non-bind adjudication of possible future products and/or services.","","","","","","","","",,,,,"",,,,"Claim",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Request","Entity. Role, or Act"
"Claim.id","Claim.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Claim.insurance.focal","Claim.insurance.focal","","","",1,1,"","","Y","boolean {[]} {[]}
","Coverage to be used for adjudication","Berisi data penanda untuk menunjukkan bahwa cakupan yang tersebut akan digunakan untuk keputusan klaim bila disetel ke true dengan tipe data booelan.","A patient may (will) have multiple insurance policies which provide reimbursement for healthcare services and products. For example a person may also be covered by their spouse's policy and both appear in the list (and may be from the same insurer). This flag will be set to true for only one of the listed policies and that policy will be used for adjudicating this claim. Other claims would be created to request adjudication against the other listed policies.","To identify which coverage in the list is being used to adjudicate this claim.","","","","","","","",,,,,"",,,,"Claim.insurance.focal",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.insurance.identifier","Claim.insurance.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Pre-assigned Claim number","Berisi data pengidentifikasi bisnis yang akan digunakan saat klaim dikirim untuk ajudikasi terhadap polis asuransi dengan tipe data Identifier.","Only required in jurisdictions where insurers, rather than the provider, are required to send claims to  insurers that appear after them in the list. This element is not required when 'subrogation=true'.","This will be the claim number should it be necessary to create this claim in the future. This is provided so that payors may forward claims to other payors in the Coordination of Benefit for adjudication rather than the provider being required to initiate each adjudication.","","","","","","","",,,,,"",,,,"Claim.insurance.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.identifier","FiveWs.identifier"
"Claim.insurance.coverage","Claim.insurance.coverage","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Coverage|4.0.1]]}
","Insurance information","Berisi data referensi ke informasi tingkat kartu asuransi yang terdapat dalam resource Coverage. Perusahaan asuransi yang mengeluarkan pertanggungan akan menggunakan perincian ini untuk menemukan pertanggungan aktual pasien dalam sistem informasi perusahaan asuransi. Tipe data yang digunakan adalah Reference yang nilainya direferensikan ke data yang tersimpan di resource Coverage.","","Required to allow the adjudicator to locate the correct policy and history within their information system.","","","","","","","",,,,,"",,,,"Claim.insurance.coverage",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.insurance.businessArrangement","Claim.insurance.businessArrangement","","","",0,1,"","","","string {[]} {[]}
","Additional provider contract number","Berisi data nomor perjanjian bisnis yang dibuat antara penyedia dan perusahaan asuransi dengan tujuan pemrosesan bisnis khusus dengan tipe data string.","","Providers may have multiple business arrangements with a given insurer and must supply the specific contract number for adjudication.","","","","","","","",,,,,"",,,,"Claim.insurance.businessArrangement",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.insurance.preAuthRef","Claim.insurance.preAuthRef","","","",0,*,"","","","string {[]} {[]}
","Prior authorization reference number","Berisi data nomor referensi yang sebelumnya diberikan oleh perusahaan asuransi kepada penyedia untuk dikutip pada klaim selanjutnya yang berisi layanan atau produk yang terkait dengan otorisasi sebelumnya dengan tipe data string.","This value is an alphanumeric string that may be provided over the phone, via text, via paper, or within a ClaimResponse resource and is not a FHIR Identifier.","Providers must quote previously issued authorization reference numbers in order to obtain adjudication as previously advised on the Preauthorization.","","","","","","","",,,,,"",,,,"Claim.insurance.preAuthRef",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.insurance.claimResponse","Claim.insurance.claimResponse","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClaimResponse|4.0.1]]}
","Adjudication results","Berisi data hasil ajudikasi item baris untuk pertanggungan yang ditentukan dalam asuransi ini dengan tipe data Reference yang nilainya direferensikan ke data yang tersimpan di resource ClaimResponse.","Must not be specified when 'focal=true' for this insurance.","An insurer need the adjudication results from prior insurers to determine the outstanding balance remaining by item for the items in the curent claim.","","","","","","","",,,,,"",,,,"Claim.insurance.claimResponse",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.accident","Claim.accident","","","",0,1,"","","","BackboneElement {[]} {[]}
","Details of the event","Details of an accident which resulted in injuries which required the products and services listed in the claim.","","When healthcare products and services are accident related, benefits may be payable under accident provisions of policies, such as automotive, etc before they are payable under normal health insurance.","","","","","","","",,,,,"",,,,"Claim.accident",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.accident.id","Claim.accident.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.accident.extension","Claim.accident.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.accident.modifierExtension","Claim.accident.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.accident.date","Claim.accident.date","","","",1,1,"","","","date {[]} {[]}
","When the incident occurred","Berisi data tanggal peristiwa kecelakaan terkait dengan produk dan layanan yang terkandung dalam klaim dengan tipe data date.","The date of the accident has to precede the dates of the products and services but within a reasonable timeframe.","Required for audit purposes and adjudication.","","","","","","","",,,,,"",,,,"Claim.accident.date",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.accident.type","Claim.accident.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The nature of the accident","Berisi data jenis atau konteks kejadian kecelakaan untuk keperluan pemilihan potensi pertanggungan asuransi dan penentuan koordinasi antar penanggung dengan tipe data CodeableConcept.","","Coverage may be dependant on the type of accident.","","","","","","","",,"extensible","Type of accident: work place, auto, etc.","http://terminology.hl7.org/ValueSet/v3-ActIncidentCode","",,,,"Claim.accident.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.accident.type.id","Claim.accident.type.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.accident.type.extension","Claim.accident.type.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.accident.type.coding","Claim.accident.type.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","Berisi data jenis atau konteks kejadian kecelakaan untuk keperluan pemilihan potensi pertanggungan asuransi dan penentuan koordinasi antar penanggung dengan tipe data Coding yang nilainya dapat mengacu pada data terminologi yang dapat diperluas V3 Value SetActIncidentCode.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"Claim.accident.type.text","Claim.accident.type.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"Claim.accident.location[x]","Claim.accident.location[x]","","","",0,1,"","","","Address {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|4.0.1]]}","Where the event occurred","Berisi data lokasi fisik peristiwa kecelakaan.","","Required for audit purposes and determination of applicable insurance liability.","","","","","","","",,,,,"",,,,"Claim.accident.location[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item","Claim.item","","","",0,*,"","","","BackboneElement {[]} {[]}
","Product or service provided","A claim line. Either a simple  product or service or a 'group' of details which can each be a simple items or groups of sub-details.","","The items to be processed for adjudication.","","","","","","","",,,,,"",,,,"Claim.item",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.id","Claim.item.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.item.extension","Claim.item.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.item.modifierExtension","Claim.item.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.item.sequence","Claim.item.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Item instance identifier","Berisi data nomor unik untuk mengidentifikasi entri item dengan tipe data positiveInt.","","Necessary to provide a mechanism to link to items from within the claim and within the adjudication details of the ClaimResponse.","","","","","","","",,,,,"",,,,"Claim.item.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.careTeamSequence","Claim.item.careTeamSequence","","","",0,*,"","","","positiveInt {[]} {[]}
","Applicable careTeam members","Berisi data anggota tim perawatan terkait dengan layanan atau produk dengan tipe data positiveInt.","","Need to identify the individuals and their roles in the provision of the product or service.","","","","","","","",,,,,"",,,,"Claim.item.careTeamSequence",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.diagnosisSequence","Claim.item.diagnosisSequence","","","",0,*,"","","","positiveInt {[]} {[]}
","Applicable diagnoses","Berisi data diagnosis yang berlaku untuk layanan atau produk dengan tipe data positiveInt.","","Need to related the product or service to the associated diagnoses.","","","","","","","",,,,,"",,,,"Claim.item.diagnosisSequence",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.procedureSequence","Claim.item.procedureSequence","","","",0,*,"","","","positiveInt {[]} {[]}
","Applicable procedures","Berisi data data prosedur yang berlaku untuk layanan atau produk dengan tipe data positiveInt.","","Need to provide any listed specific procedures to support the product or service being claimed.","","","","","","","",,,,,"",,,,"Claim.item.procedureSequence",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.informationSequence","Claim.item.informationSequence","","","",0,*,"","","","positiveInt {[]} {[]}
","Applicable exception and supporting information","Berisi data pengecualian, ketentuan khusus, dan informasi pendukung yang berlaku untuk layanan atau produk ini dengan tipe data positiveInt.","","Need to reference the supporting information items that relate directly to this product or service.","","","","","","","",,,,,"",,,,"Claim.item.informationSequence",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.revenue","Claim.item.revenue","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Revenue or cost center code","Berisi data jenis pusat pendapatan atau biaya yang menyediakan produk dan/atau layanan dengan tipe data CodeableConcept.","","Needed in the processing of institutional claims.","","","","","","","",,"example","Codes for the revenue or cost centers supplying the service and/or products.","http://hl7.org/fhir/ValueSet/ex-revenue-center|4.0.1","",,,,"Claim.item.revenue",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.revenue.id","Claim.item.revenue.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.item.revenue.extension","Claim.item.revenue.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.item.revenue.coding","Claim.item.revenue.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","Berisi data jenis pusat pendapatan atau biaya yang menyediakan produk dan/atau layanan dengan tipe data Coding yang nilainya dapat mengacu pada contoh data terminologi Example Revenue Center Codes.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"Claim.item.revenue.text","Claim.item.revenue.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"Claim.item.category","Claim.item.category","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Benefit classification","Berisi data kode untuk mengidentifikasi jenis manfaat umum di mana produk dan layanan disediakan dengan tipe data CodeableConcept.","Examples include Medical Care, Periodontics, Renal Dialysis, Vision Coverage.","Needed in the processing of institutional claims as this allows the insurer to determine whether a facial X-Ray is for dental, orthopedic, or facial surgery purposes.","","","","","","","",,"example","Benefit categories such as: oral-basic, major, glasses.","http://hl7.org/fhir/ValueSet/ex-benefitcategory|4.0.1","",,,,"Claim.item.category",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.category.id","Claim.item.category.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.item.category.extension","Claim.item.category.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.item.category.coding","Claim.item.category.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","Berisi data kode untuk mengidentifikasi jenis manfaat umum di mana produk dan layanan disediakan dengan tipe data Coding yang nilainya dapat mengacu pada contoh data terminologi Benefit Category Codes.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"Claim.item.category.text","Claim.item.category.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"Claim.item.productOrService","Claim.item.productOrService","","Drug Code
Bill CodeService Code","",1,1,"","","","CodeableConcept {[]} {[]}
","Billing, service, product, or drug code","Berisi data jika nilainya adalah kode grup maka item ini mengumpulkan serangkaian detail klaim terkait dan jika tidak maka berisi produk, layanan, obat, atau kode tagihan lainnya untuk item tersebut dengan tipe data CodeableConcept.","If this is an actual service or product line, i.e. not a Group, then use code to indicate the Professional Service or Product supplied (e.g. CTP, HCPCS, USCLS, ICD10, NCPDP, DIN, RxNorm, ACHI, CCI). If a grouping item then use a group code to indicate the type of thing being grouped e.g. 'glasses' or 'compound'.","Necessary to state what was provided or done.","","","","","","","",,"example","Allowable service and product codes.","http://hl7.org/fhir/ValueSet/service-uscls|4.0.1","",,,,"Claim.item.productOrService",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.productOrService.id","Claim.item.productOrService.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.item.productOrService.extension","Claim.item.productOrService.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.item.productOrService.coding","Claim.item.productOrService.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","Berisi data jika nilainya adalah kode grup maka item ini mengumpulkan serangkaian detail klaim terkait dan jika tidak maka berisi produk, layanan, obat, atau kode tagihan lainnya untuk item tersebut dengan tipe data Coding yang nilainya dapat mengacu pada contoh data terminologi USCLS Codes.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"Claim.item.productOrService.text","Claim.item.productOrService.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"Claim.item.modifier","Claim.item.modifier","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Product or service billing modifiers","Berisi data kode tipifikasi atau pengubah item untuk menyampaikan konteks tambahan untuk produk atau layanan dengan tipe data CodeableConcept.","For example in Oral whether the treatment is cosmetic or associated with TMJ, or for Medical whether the treatment was outside the clinic or outside of office hours.","To support inclusion of the item for adjudication or to charge an elevated fee.","","","","","","","",,"example","Item type or modifiers codes, eg for Oral whether the treatment is cosmetic or associated with TMJ, or an appliance was lost or stolen.","http://hl7.org/fhir/ValueSet/claim-modifiers|4.0.1","",,,,"Claim.item.modifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.item.modifier.id","Claim.item.modifier.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
